label_name	auc
r	0.888364792509494
php	0.9040908529573561
mysql	0.8196615187449064
c#	0.8798402353971572
javascript	0.9128925133418546
jquery	0.8028881970020344
java	0.896390022496057
ruby-on-rails	0.8941381508258939
ruby	0.7713464064502845
ruby-on-rails-3	0.5129807466807211
json	0.866770388191153
spring	0.8431124071688691
spring-mvc	0.8396507860973332
codeigniter	0.9217002395521487
class	0.5274397847939036
html	0.6563751642116258
ios	0.8629327622801727
c++	0.8197283808583938
eclipse	0.7953448058857855
python	0.8951402630509596
list	0.7222134596663916
objective-c	0.924354078182805
swift	0.8188220350352335
xaml	0.6022617795913462
asp.net	0.7341473890437797
wpf	0.7796575247396444
multithreading	0.7882011066744261
image	0.648858302397728
performance	0.6136160324375255
twitter-bootstrap	0.867015836132399
linq	0.8196824534269834
xml	0.8062757337775045
numpy	0.8287642064645833
ajax	0.7786604601643573
django	0.8870144344164335
laravel	0.9100916554331663
android	0.8042290850444003
rest	0.7592232313644823
asp.net-mvc	0.7331187445385795
web-services	0.7766352439724182
string	0.6357550103050585
excel	0.8445581742227315
winforms	0.6923527085382016
arrays	0.8127746083106268
c	0.7913400103023841
sockets	0.7964501729207613
osx	0.7347218868098256
entity-framework	0.8064925432340144
mongodb	0.9035024503402117
opencv	0.9102396783352511
xcode	0.608737900362522
uitableview	0.8805997398789708
algorithm	0.5718340673469331
python-2.7	0.5
angularjs	0.9240702027370873
dom	0.5941711435230543
swing	0.8574170719526706
.net	0.5358148217370544
vb.net	0.706848673514145
google-maps	0.9009240739523141
hibernate	0.861193690765887
wordpress	0.8557947054250384
iphone	0.6940747217649598
sql	0.5736551908426305
visual-studio	0.5217097276591541
linux	0.6337598388083094
facebook	0.9277731233243968
database	0.5411218382906957
file	0.518928938122043
generics	0.8082087741028386
visual-studio-2010	0.5362960824539866
regex	0.8495711717702147
html5	0.6544257477093298
jsp	0.8072609055264102
csv	0.8772264844017348
forms	0.6658495206810638
validation	0.8256927871191571
parsing	0.5933478171707266
function	0.5337121282037084
pandas	0.8868613138686132
sorting	0.7691419390619119
qt	0.9043599351106134
wcf	0.8503102269792361
css	0.6670824801841508
date	0.6487554322301726
node.js	0.8632922431386285
sql-server	0.642822274096855
unit-testing	0.7029480737018426
python-3.x	0.5534544343208603
loops	0.579754604335722
windows	0.6160958862230048
pointers	0.7473117826093718
oop	0.5128641090377044
datetime	0.7056817883021875
servlets	0.7616089583980319
session	0.8446787148594378
cocoa-touch	0.5
apache	0.5726487138263665
selenium	0.8932823493471443
maven	0.7839047538968924
